gene_symbol	i_am_tf	gene_description	chromosome_name	upstream	upstream_source	downstream	organism	p_value
BCAR1	0	"breast cancer anti-estrogen resistance 1"	chr16	15	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ZNF180	0	"zinc finger protein 180"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
CRELD2	0	"cysteine-rich with EGF-like domains 2"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FIGNL2	0	"fidgetin-like 2"	chr12	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TMEM254	0	"transmembrane protein 254"	chr10	4	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SPN	0	sialophorin	chr16	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
MSH6	0	"mutS homolog 6"	chr2	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GDPD2	0	"glycerophosphodiester phosphodiesterase domain containing 2"	chrX	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
GRAMD3	0	"GRAM domain containing 3"	chr5	6	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
KLK6	0	"kallikrein-related peptidase 6"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
SFSWAP	0	"splicing factor, suppressor of white-apricot family"	chr12	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
BLOC1S3	0	"biogenesis of lysosomal organelles complex-1, subunit 3"	chr19	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLEKHG4	0	"pleckstrin homology domain containing, family G (with RhoGef domain) member 4"	chr16	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
VIPR1	0	"vasoactive intestinal peptide receptor 1"	chr3	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PLCB4	0	"phospholipase C, beta 4"	chr20	5	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NAA60	0	"N(alpha)-acetyltransferase 60, NatF catalytic subunit"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
ARHGAP35	0	"Rho GTPase activating protein 35"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
COMTD1	0	"catechol-O-methyltransferase domain containing 1"	chr10	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
PIK3CB	0	"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta"	chr3	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
YIF1B	0	"Yip1 interacting factor homolog B (S. cerevisiae)"	chr19	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
DDX19B	0	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B"	chr16	3	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NINJ2	0	"ninjurin 2"	chr12	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
TBC1D22A	0	"TBC1 domain family, member 22A"	chr22	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
FLCN	0	folliculin	chr17	2	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
NKG7	0	"natural killer cell granule protein 7"	chr19	1	"Kulakovskiy 2013"	0	"Homo sapiens"	0.00001
