comm1	comm2	jaccard
671	671	1
671	672	0.04081632653061224
671	673	0.019230769230769232
671	665	0.024691358024691357
671	19	0
671	47	0
671	50	0
671	71	0
671	72	0
671	77	0
671	87	0
671	678	0
671	95	0.06666666666666667
671	107	0
671	111	0
671	136	0
671	138	0
671	142	0
671	184	0
671	203	0
671	222	0
671	255	0
671	356	0
671	413	0
671	482	0
671	490	0
671	519	0
671	573	0
671	628	0
672	671	0.04081632653061224
672	672	1
672	673	0.5714285714285714
672	665	0
672	19	0
672	47	0
672	50	0
672	71	0
672	72	0
672	77	0
672	87	0
672	678	0
672	95	0
672	107	0
672	111	0
672	136	0.02040816326530612
672	138	0
672	142	0
672	184	0
672	203	0
672	222	0
672	255	0
672	356	0
672	413	0
672	482	0
672	490	0
672	519	0
672	573	0
672	628	0
673	671	0.019230769230769232
673	672	0.5714285714285714
673	673	1
673	665	0
673	19	0
673	47	0
673	50	0
673	71	0
673	72	0
673	77	0
673	87	0
673	678	0
673	95	0
673	107	0
673	111	0
673	136	0.0196078431372549
673	138	0
673	142	0
673	184	0
673	203	0
673	222	0
673	255	0
673	356	0
673	413	0
673	482	0
673	490	0
673	519	0
673	573	0
673	628	0
665	671	0.024691358024691357
665	672	0
665	673	0
665	665	1
665	19	0
665	47	0
665	50	0
665	71	0
665	72	0
665	77	0
665	87	0
665	678	0
665	95	0
665	107	0
665	111	0
665	136	0
665	138	0
665	142	0
665	184	0
665	203	0
665	222	0
665	255	0
665	356	0
665	413	0
665	482	0.03508771929824561
665	490	0
665	519	0.01818181818181818
665	573	0
665	628	0
19	671	0
19	672	0
19	673	0
19	665	0
19	19	1
19	47	0
19	50	0
19	71	0
19	72	0
19	77	0.023255813953488372
19	87	0
19	678	0.01694915254237288
19	95	0
19	107	0
19	111	0
19	136	0.012987012987012988
19	138	0
19	142	0
19	184	0
19	203	0
19	222	0
19	255	0
19	356	0
19	413	0
19	482	0
19	490	0
19	519	0
19	573	0
19	628	0
47	671	0
47	672	0
47	673	0
47	665	0
47	19	0
47	47	1
47	50	0
47	71	0.047619047619047616
47	72	0
47	77	0
47	87	0
47	678	0
47	95	0.043478260869565216
47	107	0
47	111	0
47	136	0
47	138	0
47	142	0
47	184	0
47	203	0
47	222	0
47	255	0
47	356	0
47	413	0
47	482	0
47	490	0
47	519	0.07142857142857142
47	573	0
47	628	0
50	671	0
50	672	0
50	673	0
50	665	0
50	19	0
50	47	0
50	50	1
50	71	0
50	72	0
50	77	0
50	87	0
50	678	0
50	95	0
50	107	0
50	111	0
50	136	0
50	138	0
50	142	0
50	184	0
50	203	0
50	222	0
50	255	0.2
50	356	0
50	413	0
50	482	0
50	490	0
50	519	0
50	573	0
50	628	0
71	671	0
71	672	0
71	673	0
71	665	0
71	19	0
71	47	0.047619047619047616
71	50	0
71	71	1
71	72	0
71	77	0
71	87	0
71	678	0
71	95	0.047619047619047616
71	107	0
71	111	0
71	136	0.05172413793103448
71	138	0
71	142	0
71	184	0
71	203	0
