comm1	comm2	jaccard
2	4	0
2	77	0
2	223	0
2	13	0.42424242424242425
2	341	0
2	241	0
2	101	0
2	117	0
2	153	0.021739130434782608
2	10	0
2	322	0
2	70	0
2	7	0
2	2	0
2	251	0
2	266	0
2	19	0
5	4	0
5	77	0
5	223	0
5	13	0
5	341	0
5	241	0
5	101	0
5	117	0
5	153	0.03571428571428571
5	10	0
5	322	0.058823529411764705
5	70	0
5	7	0
5	2	0
5	251	0
5	266	0
5	19	0
1	4	0.037037037037037035
1	77	0.45454545454545453
1	223	0
1	13	0
1	341	0
1	241	0
1	101	0
1	117	0
1	153	0
1	10	0
1	322	0
1	70	0
1	7	0
1	2	0
1	251	0
1	266	0
1	19	0
18	4	0
18	77	0
18	223	0
18	13	0
18	341	0
18	241	0
18	101	0
18	117	0
18	153	0
18	10	0
18	322	0
18	70	0
18	7	0
18	2	0
18	251	0
18	266	0
18	19	0
15	4	0
15	77	0
15	223	0
15	13	0
15	341	0
15	241	0.1111111111111111
15	101	0
15	117	0
15	153	0
15	10	0
15	322	0
15	70	0
15	7	0
15	2	0
15	251	0
15	266	0
15	19	0
12	4	0
12	77	0
12	223	0
12	13	0
12	341	0
12	241	0
12	101	0
12	117	1
12	153	0
12	10	0
12	322	0
12	70	0
12	7	0
12	2	0
12	251	0
12	266	0.03773584905660377
12	19	0
8	4	0
8	77	0.027777777777777776
8	223	0
8	13	0
8	341	0
8	241	0
8	101	0.23529411764705882
8	117	0
8	153	0
8	10	0.5714285714285714
8	322	0
8	70	0
8	7	0
8	2	0
8	251	0
8	266	0
8	19	0
6	4	0
6	77	0
6	223	0
6	13	0
6	341	0
6	241	0
6	101	0
6	117	0
6	153	0
6	10	0.07692307692307693
6	322	0
6	70	0
6	7	0
6	2	0
6	251	0
6	266	0
6	19	0
266	4	0
266	77	0
266	223	0
266	13	0
266	341	0
266	241	0
266	101	0
266	117	0
266	153	0
266	10	0
266	322	0
266	70	0
266	7	1
266	2	0
266	251	0
266	266	0
266	19	0
13	4	0.03571428571428571
13	77	0
13	223	0
13	13	0.044444444444444446
13	341	0
13	241	0
13	101	0
13	117	0
13	153	0.8076923076923077
13	10	0
13	322	0.02857142857142857
13	70	0
13	7	0
13	2	0
13	251	0
13	266	0
13	19	0
397	4	0
397	77	0
397	223	0
397	13	0
397	341	0
397	241	0
397	101	0
397	117	0
397	153	0
397	10	0
397	322	0.018518518518518517
397	70	0
397	7	0
397	2	1
397	251	0
397	266	0
397	19	0
65	4	0
65	77	0
65	223	0
65	13	0
65	341	0
65	241	0
65	101	0
65	117	0
65	153	0
65	10	0
65	322	0
65	70	0
65	7	0
65	2	0
65	251	1
65	266	0.16666666666666666
65	19	0
326	4	0
326	77	0
326	223	0
326	13	0
326	341	0
326	241	0
326	101	0
326	117	0.03773584905660377
326	153	0
326	10	0
326	322	0
326	70	0
326	7	0
326	2	0
326	251	0.16666666666666666
326	266	1
326	19	0
104	4	0
104	77	0
104	223	0.14285714285714285
104	13	0
104	341	0
104	241	0
104	101	0
104	117	0
104	153	0
104	10	0
104	322	0.01639344262295082
104	70	0
104	7	0
104	2	0
104	251	0
104	266	0
104	19	1
