community_id	name	size	chr_assortativity	exp_assprtativity	mean_diff_exp	enriched_terms
2	QRICH1	118	0.9976275207591934	-0.08896797153024912	0.13306844882451258	0
662	TSR1	151	0.9989145183175034	-0.20759837177747625	-0.05297560661738889	0
3	ZNF394	145	0.9947780678851175	0.1122715404699739	0.20284508126133244	0
667	COG3	109	0.9968051118210862	-0.25559105431309903	0.024377254518542238	0
669	CYB561D1	58	-0.12582781456953643	0.006622516556291391	-0.1776074168450154	0
671	RNPS1	1804	0.9940014996250938	0.1422144463884029	0.17875952160412445	99
672	POLR1D	22	0.6595744680851063	0.23404255319148937	0.10420426328169159	21
666	TAB1	162	0.996802557953637	-0.18145483613109512	0.04524116704134132	0
674	YTHDF1	61	0.99	0.43	0.27448988541353203	0
673	RPL35	114	-0.07894736842105263	0.5526315789473685	-0.11744798729998407	33
665	NUSAP1	86	-0.70783132530120485	0.9969879518072289	1.6429296965494078	179
19	TYROBP	6	-0.75	0.25	0.3134046464597625	88
675	OTUB1	109	0.9857482185273159	0.007125890736342043	0.1321465428678606	0
47	IGLL5	7	-0.5384615384615384	0.23076923076923078	-0.6269905391863364	1
50	CPA3	15	-0.8695652173913043	-0.34782608695652173	-0.28280352631441896	8
63	KDR	3	-1	1	-0.521449051786627	0
677	CCDC85B	42	-0.30434782608695654	-0.014492753623188406	0.21338018529286384	0
67	NFKB2	3	-1	-1	0.2869656844498197	0
71	CD3E	26	-0.8285714285714286	0.3142857142857143	-0.3291258487664672	69
72	PER3	6	-0.8	0.2	-0.5316545984844373	10
87	COL5A2	20	-0.7037037037037037	0.7777777777777778	0.8120191785584315	61
678	MX1	23	-0.6712328767123288	0.3150684931506849	0.4072996115680116	53
90	ARF3	7	0.6666666666666666	0.6666666666666666	0.40358718046015835	0
103	LAMA4	2	-1	1	-0.6695708452286651	0
108	PDGFRB	2	-1	-1	-0.03433065176792285	0
135	TNFAIP3	2	-1	1	-0.610309146077514	0
136	EGR1	20	-0.64	0.88	-1.3457734488076327	96
138	ESAM	23	-0.8709677419354839	0.6774193548387096	-0.9576557239614807	15
139	PPIG	10	0.8181818181818182	-0.09090909090909091	0.06702758027011985	0
140	KLF9	5	-1	0	-0.9363745010839288	0
143	SAFB	3	0	1	0.21563742013519724	0
152	PLAU	2	-1	-1	-0.877136083185146	0
154	PLEK	4	-1	-0.3333333333333333	-0.017956017045675746	0
164	ID1	3	0	1	-1.031503420712708	0
184	ACTA2	11	-0.8666666666666667	1	-2.2728939159193553	3
195	CLEC10A	5	-0.5	1	-1.363269434556978	0
200	GIMAP8	7	0.8571428571428571	1	-1.6099611770734485	0
206	PDGFRA	2	-1	1	-1.3420883587961496	0
219	NA	6	-1	0.6	-0.2649711555913097	0
222	C1QA	8	-0.2727272727272727	1	-0.5827504323427118	23
227	SLC40A1	2	-1	-1	0.260077045839612	0
235	CD27	2	-1	-1	-0.267501707108298	0
242	ITGB2	4	-1	0.3333333333333333	0.06490880700101717	0
243	IGSF6	2	-1	-1	-0.056837136579003494	0
253	EVI2B	3	0	1	0.2317323573027348	0
255	DPP4	6	-0.6	0.2	-1.0807916250719105	5
301	MMP14	2	-1	1	2.8466311366071686	0
314	FMNL3	2	-1	-1	0.02797126932197551	0
317	PAQR4	3	0	1	0.963260820087535	0
330	FSTL1	2	-1	1	-0.8305361789680644	0
338	TKT	2	-1	-1	-0.23585864929259903	0
352	FABP4	6	-0.6	1	-4.576141684111511	0
354	AVPR1A	2	-1	1	-1.56534332696215	0
356	CX3CR1	14	-0.4117647058823529	-0.17647058823529413	-0.3051906764378028	12
358	ELN	3	-1	-1	-1.33823753592357	0
359	MYDGF	3	0	0	0.311016602914909	0
366	SLC3A2	2	-1	1	0.9074573876489664	0
368	SCARA5	2	-1	1	-5.10523697927718	0
375	S1PR1	5	-1	1	-2.853770381273314	0
406	LRRC15	4	-1	0.3333333333333333	1.5553315569631323	0
419	ACKR1	3	0	1	-2.828599421308507	0
421	PODN	3	0	1	-1.3199148917979693	0
436	C5orf38	4	0	0	0.263061678456495	0
445	DPM3	2	-1	-1	-0.09124545375294851	0
446	ITGA4	3	0	0	0.139453530901314	0
448	EGR3	2	-1	1	-1.23537904930154	0
451	FOXS1	2	-1	1	0.852593769097581	0
453	TDRD6	2	-1	-1	-0.6863548774563065	0
462	AEN	2	-1	-1	-0.2331814480663135	0
480	DUSP8	4	-0.3333333333333333	-0.3333333333333333	-0.21383381856375852	0
482	HIST1H2BK	7	0.5294117647058824	1	1.381331473065294	51
487	NRBP2	2	-1	1	-0.6139293253434625	0
490	KRT5	6	-0.7777777777777778	1	-2.9412858051999766	16
497	CFAP73	2	-1	-1	0.131563232726016	0
519	HLA-DMB	12	0.46153846153846156	-0.38461538461538464	0.04958689929906604	46
520	S100A4	2	-1	1	-1.0185928154080266	0
552	ITGBL1	2	-1	1	0.7468093136088876	0
555	FICD	2	-1	-1	0.028093131109805998	0
557	SREBF2	2	-1	-1	-0.2006706686317975	0
569	HLA-F	4	0.3333333333333333	-1	0.094240629830821	0
583	RAB12	2	-1	1	-0.7418836171408105	0
634	MEX3A	2	-1	1	0.6322832549348669	0
643	ANXA8	3	0	1	-2.0038404208582965	0
656	FCGBP	3	-1	0	-0.310868207843825	0
